Horodateur;Vous êtes actuellement :;Quelle était votre série au Baccalauréat ?;Quelles étaient vos matières préférées au lycée ?;Dans quelles matières vous étiez doués?;Dans quelles activités pensez-vous être naturellement à l'aise ?;Parmi les activités suivantes, lesquelles vous attirent le plus ?;Quel type de problème aimez-vous le plus résoudre ?;Quel type d'activité pédagogique vous attire le plus ?;Aimez-vous plutôt la pratique ou les leçons (théorie) ?;Quel rythme de travail vous correspond le mieux ?;Dans quel environnement aimeriez-vous travailler ?;Quels sont vos domaines d'intérêt principaux ? (Ex: programmation, musique, voyage, dessins, chimie, ...) Mentionnez-en plusieurs si vous en avez;Préférez-vous travailler principalement ?;Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?;Avez-vous étudié ou étudiez-vous à l'ISPM ?;Si oui, quelle est / a été votre filière (mention) à l'ISPM ?;Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?;Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?
2026-08-24 15:17:56.000000;Étudiant(e);Série OSE;Sciences de la vie / Biologie, Histoire / Géographie, Français / Langues, Économie;Sciences de la vie / Biologie, Histoire / Géographie, Économie;Organiser, Communiquer, Travailler avec des personnes, Calculer, Résoudre des problèmes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Vendre, négocier ou développer une activité commerciale;Problèmes économiques et financiers, Problèmes liés à l'environnement;Faire des présentations / exposés, Résoudre des exercices;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Hôtel / restaurant;théâtre;En petite équipe;Avoir un métier stable, Avoir la possibilité de travailler à l'étranger, Pouvoir évoluer professionnellement;Non;;;
2026-08-27 02:35:43.000000;Étudiant(e);Série Technique;Technologie / Sciences industrielles, Physique, Arts / Design;Technologie / Sciences industrielles, Mathématiques, Physique, Gestion / Comptabilité, Français / Langues;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Travailler dans l'agriculture ou l'élevage, Gérer les finances et la comptabilité;Problèmes liés aux machines et aux systèmes, Problèmes liés à la construction et aux infrastructures;Faire des sorties / visites de terrain, Faire des recherches documentaires, Faire des présentations / exposés, Résoudre des exercices, Participer à des simulations ou études de cas;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Laboratoire;robotique, cuisine, architecture, entrepreneuriat;Seul(e);Utiliser mes matières préférées, Faire quelque chose que j'aime;Non;;;
2026-08-30 22:39:06.000000;Professionnel(le) diplômé(e) / Actif(ve);Autre;Histoire / Géographie, Français / Langues, Arts / Design;Français / Langues, Histoire / Géographie, Chimie, Physique;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Créer et concevoir des contenus;Problèmes économiques et financiers, Problèmes liés à l'environnement;Faire des sorties / visites de terrain, Participer à des simulations ou études de cas, Faire des présentations / exposés, Réaliser des expériences;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Environnement informatique / numérique;cinéma, robotique, photographie, sport;Seul(e);Travailler dans un domaine scientifique, Travailler dans mon domaine de passion;Non;;Ingénieur industriel;4
2026-08-24 17:10:11.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Français / Langues, Histoire / Géographie;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Comprendre et utiliser des machines;Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Faire des recherches documentaires, Faire des travaux pratiques;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Laboratoire;finance, cinéma, danse;En binôme;Être utile à la société, Avoir un métier stable;Oui;CAA : Commerce et Administration des Affaires;Développeur web;1
2026-08-24 16:13:28.000000;Étudiant(e);Série C;Mathématiques, Chimie, Physique, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie, Sciences de la vie / Biologie, Technologie / Sciences industrielles;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Rédiger, Manipuler des outils;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Défendre une idée ou argumenter, Gérer les finances et la comptabilité;Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux;Faire des travaux pratiques, Réaliser un projet, Résoudre des exercices;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Je ne sais pas encore;marketing, mode;En petite équipe;Travailler dans mon domaine de passion, Résoudre des problèmes, Être utile à la société, Avoir un salaire intéressant, Faire de la recherche;Non;;;
2026-08-28 19:09:27.000000;Étudiant(e);Série OSE;Français / Langues, Histoire / Géographie, Économie;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes économiques et financiers, Problèmes liés à l'environnement;Participer à des simulations ou études de cas, Réaliser des expériences, Faire des recherches documentaires, Faire des travaux pratiques, Réaliser un projet;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Centre de recherche;échecs, marketing, langues, mathématiques;Seul(e);Avoir un métier stable, Travailler dans mon domaine de passion, Utiliser mes matières préférées, Faire quelque chose que j'aime, Avoir de bonnes opportunités d'emploi;Oui;TEH : Tourisme , Environnement et Hôtellerie;;
2026-08-29 02:06:26.000000;Professionnel(le) diplômé(e) / Actif(ve);Série D;Sciences de la vie / Biologie, Mathématiques, Physique, Français / Langues;Sciences de la vie / Biologie, Chimie, Mathématiques;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Travailler dans le tourisme;Problèmes liés à l'agriculture et à l'élevage, Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes scientifiques et expérimentaux;Faire des recherches documentaires, Résoudre des exercices, Participer à des simulations ou études de cas;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Terrain agricole;échecs, lecture, photographie, architecture;Seul(e);Faire quelque chose que j'aime, Utiliser mes matières préférées, Avoir la possibilité de travailler à l'étranger, Créer ma propre entreprise;Non;;Technicien de laboratoire;2
2026-08-21 19:01:02.000000;Étudiant(e);Série OSE;Histoire / Géographie, Sciences de la vie / Biologie, Économie;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes économiques et financiers, Problèmes liés à l'environnement;Faire des présentations / exposés, Faire des travaux pratiques, Faire des recherches documentaires;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Hôtel / restaurant;dessin, économie, chimie, bricolage;Avec beaucoup de contacts avec des partenaires;Avoir de bonnes opportunités d'emploi, Avoir un métier stable;Non;;;
2026-08-28 11:18:39.000000;Étudiant(e);Autre;Histoire / Géographie, Français / Langues;Français / Langues, Histoire / Géographie, Chimie;Organiser, Communiquer, Travailler avec des personnes, Rédiger, Programmer;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Réaliser des expériences en laboratoire, Travailler dans le tourisme;Problèmes économiques et financiers, Problèmes liés à l'environnement;Réaliser un projet, Faire des présentations / exposés, Réaliser des expériences;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Laboratoire;géopolitique, jeux vidéo, marketing, astronomie;Cela m'est égal;Avoir la possibilité de travailler à l'étranger, Avoir un salaire intéressant;Non;;;
2026-08-29 10:35:25.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Mathématiques, Technologie / Sciences industrielles, Arts / Design;Technologie / Sciences industrielles, Mathématiques, Physique, Philosophie, Arts / Design;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Programmer, Diriger une équipe;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Étudier le vivant, les plantes ou les animaux, Observer et comprendre des phénomènes scientifiques;Problèmes liés aux machines et aux systèmes, Problèmes techniques et industriels;Réaliser un projet, Faire des travaux pratiques, Participer à des simulations ou études de cas, Résoudre des exercices, Faire des recherches documentaires;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Environnement informatique / numérique;marketing, animaux, mode, chant;Seul(e);Travailler dans mon domaine de passion, Utiliser mes matières préférées, Créer ma propre entreprise, Avoir la possibilité de travailler à l'étranger, Résoudre des problèmes;Non;;Responsable informatique;3
2026-08-28 22:29:30.000000;Étudiant(e);Série D;Chimie, Physique, Mathématiques;Sciences de la vie / Biologie, Chimie, Mathématiques, Gestion / Comptabilité, Informatique;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations, Organiser, Calculer;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques;Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'agriculture et à l'élevage, Problèmes scientifiques et expérimentaux;Travailler en groupe, Faire des travaux pratiques, Faire des recherches documentaires;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Milieu rural;théâtre, chant;En petite équipe;Avoir de bonnes opportunités d'emploi, Travailler avec des personnes, Faire quelque chose que j'aime, Pouvoir évoluer professionnellement;Oui;IAA : Industrie Agroalimentaire;;
2026-08-29 11:28:47.000000;Professionnel(le) diplômé(e) / Actif(ve);Série OSE;Histoire / Géographie, Français / Langues;Sciences de la vie / Biologie, Histoire / Géographie, Économie;Organiser, Communiquer, Travailler avec des personnes, Analyser des informations, Rédiger;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Travailler dans l'agriculture ou l'élevage, Analyser des chiffres et des données;Problèmes économiques et financiers, Problèmes liés à l'environnement;Réaliser des expériences, Résoudre des exercices, Faire des recherches documentaires, Réaliser un projet, Faire des travaux pratiques;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Atelier;biologie, animaux, sport;Avec beaucoup de contacts avec des partenaires;Avoir la possibilité de travailler à l'étranger, Être utile à la société, Avoir un salaire intéressant;Oui;EMP : Economie et Management de Projet;Ingénieur logiciel;4
2026-08-24 12:36:12.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Français / Langues, Philosophie, Arts / Design;Français / Langues, Histoire / Géographie, Philosophie, Technologie / Sciences industrielles, Gestion / Comptabilité;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Découvrir et faire découvrir des cultures;Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires;Résoudre des exercices, Faire des présentations / exposés, Faire des recherches documentaires, Travailler en groupe, Participer à des simulations ou études de cas;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Commerce / magasin;environnement, animaux;En petite équipe;Travailler avec des personnes, Travailler avec des technologies, Avoir un métier stable, Avoir un salaire intéressant;Oui;DTJA : Droit et Techniques Juridiques des Affaires;Responsable informatique;3
2026-08-24 01:30:58.000000;Étudiant(e);Série OSE;Français / Langues, Histoire / Géographie, Sciences de la vie / Biologie, Économie;Sciences de la vie / Biologie, Histoire / Géographie, Informatique, Mathématiques;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Analyser des chiffres et des données, Concevoir des systèmes techniques;Problèmes liés à l'environnement, Problèmes économiques et financiers;Faire des travaux pratiques, Faire des recherches documentaires, Réaliser des expériences;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Atelier;théâtre, musique, économie;Avec beaucoup de contacts avec des clients / utilisateurs;Résoudre des problèmes, Travailler avec des personnes, Faire quelque chose que j'aime, Avoir un métier stable;Non;;;
